Cpu Name;Elbrus 1C+;Elbrus 8C;Elbrus 8C (804 - 4 CPU);Elbrus 8CB;Allwinner A64;Intel Atom x5 Z8350;AMD A6-3650;Intel Core i7 2600;Intel Core i7 4770k
RandomMemoryBenchmark (MB/s);539.19 ;2 522.24 ;829.74 ;3 079.76 ;2 196.83 ;4 051.49 ;9 501.73 ;16 312.03 ;19 753.93 
ParallelRandomMemoryBenchmark (MB/s);540.60 ;16 951.75 ;22 774.25 ;20 831.07 ;4 951.64 ;12 979.21 ;29 676.09 ;53 743.44 ;63 900.97 
Scimark2Benchmark (CompositeScore);215.59 ;318.72 ;306.78 ;376.79 ;160.33 ;402.27 ;964.14 ;1 679.82 ;2 307.60 
ParallelScimark2Benchmark (CompositeScore);215.95 ;2 504.74 ;9 766.81 ;3 015.67 ;604.00 ;1 549.91 ;2 926.64 ;7 956.83 ;11 069.84 
DhrystoneBenchmark (DMIPS);2 576.00 ;3 624.00 ;2 714.00 ;4 159.00 ;2 258.00 ;3 579.00 ;6 003.00 ;16 788.00 ;22 585.00 
ParallelDhrystoneBenchmark (DMIPS);2 554.00 ;25 556.00 ;48 103.00 ;31 842.00 ;13 476.00 ;16 768.00 ;21 185.00 ;76 410.00 ;75 060.00 
WhetstoneBenchmark (MWIPS);330.55 ;474.10 ;455.31 ;571.39 ;308.87 ;351.51 ;901.56 ;1 110.47 ;1 292.11 
ParallelWhetstoneBenchmark (MWIPS);337.53 ;3 731.61 ;14 555.09 ;4 567.49 ;1 215.42 ;1 414.09 ;2 969.19 ;7 385.28 ;8 374.89 
HashBenchmark (Iter/s);110 920.08 ;202 183.58 ;120 365.91 ;229 016.37 ;239 120.04 ;221 557.55 ;506 842.37 ;785 237.53 ;1 083 423.62 
ParallelHashBenchmark (Iter/s);113 617.00 ;431 244.81 ;180 095.92 ;496 725.05 ;551 993.69 ;503 430.45 ;1 215 251.44 ;1 403 611.99 ;2 242 235.43 
Total Points;37 809.60 ;259 349.34 ;539 095.56 ;317 600.45 ;117 062.27 ;179 709.38 ;335 660.31 ;793 926.78 ;928 024.16 
Total Time (ms);1 013 990.00 ;724 996.00 ;1 260 408.00 ;677 018.00 ;1 592 064.00 ;1 636 408.00 ;355 337.00 ;627 805.00 ;568 296.00 
